Year,Round,Date,MaxTemp,MinTemp,Rainfall,Venue,Time,Attendance,HomeTeam,HomeTeamScoreQT,HomeTeamScoreHT,HomeTeamScore3QT,HomeTeamScoreFT,HomeTeamScore,AwayTeam,AwayTeamScoreQT,AwayTeamScoreHT,AwayTeamScore3QT,AwayTeamScoreFT,AwayTeamScore,HTWinner,HTWinningMargin,FTWinner,FTWinningMargin,TotalMatchPoints,TotalMatchGoals
2012,6,5/05/2012,13.3,7.4,0,M.C.G.,7:40 PM,"42,290",St Kilda,3.2,7.3,12.7,13.1,88,Hawthorn,3.6,8.9,13.11,18.15,123,Hawthorn,12,Hawthorn,35,211,31
2012,6,6/05/2012,15.6,8.9,1.6,Docklands,1:10 PM,"28,213",Carlton,3.5,6.8,9.14,15.2,110,GWS Giants,2.1,5.4,6.7,6.7,43,Carlton,10,Carlton,67,153,21
2012,6,6/05/2012,18.5,11.4,0,Football Park,2:45 PM,"18,522",Port Adelaide,1.2,2.2,6.4,8.6,54,Richmond,3.2,8.7,9.1,13.13,91,Richmond,41,Richmond,37,145,21
2012,6,6/05/2012,20.5,14.8,10.4,Subiaco,2:40 PM,"37,202",West Coast Eagles,4.4,7.1,12.15,17.18,120,North Melbourne,4,7.2,12.2,15.5,95,North Melbourne,1,West Coast,25,215,32
2012,7,11/05/2012,17,9.4,1.8,M.C.G.,7:50 PM,"36,430",Melbourne,3.3,3.5,5.11,6.13,49,Hawthorn,2.6,8.12,10.18,15.25,115,Hawthorn,37,Hawthorn,66,164,21
2012,7,12/05/2012,17,6.8,0,Football Park,12:45 PM,"35,535",Adelaide Crows,6.3,14.5,17.7,19.8,122,Geelong Cats,3.2,4.2,6.8,10.12,72,Adelaide,63,Adelaide,50,194,29
2012,7,12/05/2012,14.4,0.1,0,Manuka Oval,1:40 PM,"8,603",GWS Giants,4.2,5.8,8.13,13.16,94,Gold Coast Suns,1.3,7.9,9.11,9.13,67,Gold Coast,13,Greater Western Sydney,27,161,22
2012,7,12/05/2012,15.5,7.1,0.2,M.C.G.,4:40 PM,"40,352",Richmond,5.6,7.9,8.11,13.13,91,Sydney Swans,0.2,2.7,6.9,8.14,62,Richmond,32,Richmond,29,153,21
2012,7,12/05/2012,27.2,13.4,0,Gabba,7:40 PM,"27,926",Brisbane Lions,2.1,3.7,7.9,8.1,58,Collingwood,6.4,9.7,12.12,17.14,116,Collingwood,36,Collingwood,58,174,25
2012,7,12/05/2012,15.5,7.1,0.2,Docklands,7:40 PM,"43,260",Essendon,1.6,5.1,12.14,16.17,113,West Coast Eagles,1.3,3.5,3.7,7.1,52,Essendon,8,Essendon,61,165,23
2012,7,13/05/2012,13.2,9.1,3.6,Docklands,1:10 PM,"20,885",North Melbourne,3.1,6.5,11.8,12.11,83,Western Bulldogs,3.3,9.6,14.8,15.11,101,Western Bulldogs,19,Western Bulldogs,18,184,27
2012,7,13/05/2012,22.9,11.4,0,Subiaco,2:40 PM,"30,079",Fremantle,2.8,6.9,8.14,12.15,87,Port Adelaide,3.2,3.4,6.4,7.5,47,Fremantle,23,Fremantle,40,134,19
2012,7,14/05/2012,15.8,6.8,6.2,Docklands,7:40 PM,"38,823",St Kilda,5.3,11.5,16.6,19.8,122,Carlton,5.1,8.6,12.1,14.14,98,St Kilda,17,St Kilda,24,220,33
2012,8,18/05/2012,17.2,8.8,0,M.C.G.,7:50 PM,"75,650",Collingwood,3.6,7.9,10.11,14.12,96,Geelong Cats,2.4,6.6,7.12,11.18,84,Collingwood,9,Collingwood,12,180,25
2012,8,19/05/2012,17,8.3,7.8,Football Park,1:15 PM,"14,508",Port Adelaide,5.1,6.2,8.6,14.11,95,North Melbourne,4.1,7.5,11.9,14.9,93,North Melbourne,9,Port Adelaide,2,188,28
2012,8,19/05/2012,16.1,6.2,3.2,York Park,2:10 PM,"12,959",Hawthorn,2.4,10.9,13.12,17.17,119,Fremantle,0.3,2.6,7.8,9.9,63,Hawthorn,51,Hawthorn,56,182,26
2012,8,19/05/2012,22.2,10.2,2,S.C.G.,4:40 PM,"20,818",Sydney Swans,7.1,11.4,16.9,21.12,138,Melbourne,0.3,1.5,2.7,5.7,37,Sydney,59,Sydney,101,175,26
2012,8,19/05/2012,32.1,19.8,0,Marrara Oval,7:10 PM,"8,724",Western Bulldogs,1.3,2.6,6.12,9.18,72,Gold Coast Suns,1.5,2.9,3.1,4.1,34,Gold Coast,3,Western Bulldogs,38,106,13
2012,8,19/05/2012,14.4,10.5,1.8,M.C.G.,7:50 PM,"80,900",Essendon,6.2,12.7,16.9,19.14,128,Richmond,4.2,6.8,11.16,15.19,109,Essendon,35,Essendon,19,237,34
2012,8,20/05/2012,24,11.3,0,Gabba,1:10 PM,"16,049",Brisbane Lions,7.3,10.9,13.14,19.18,132,GWS Giants,1.2,3.5,4.5,5.1,40,Brisbane Lions,46,Brisbane Lions,92,172,24
2012,8,20/05/2012,15.2,4.8,0.2,Docklands,3:15 PM,"35,917",Carlton,5.2,5.4,7.6,8.7,55,Adelaide Crows,4.5,9.6,13.9,19.1,124,Adelaide,26,Adelaide,69,179,27
2012,8,20/05/2012,26.5,9.2,0,Subiaco,2:40 PM,"38,174",West Coast Eagles,6.2,13.6,15.7,18.13,121,St Kilda,1.4,5.5,11.1,13.13,91,West Coast,49,West Coast,30,212,31
2012,9,25/05/2012,10.8,8.4,4,Docklands,7:50 PM,"29,118",Western Bulldogs,1.1,6.2,8.5,11.9,75,Geelong Cats,3.5,6.9,9.9,14.11,95,Geelong,7,Geelong,20,170,25
2012,9,26/05/2012,16,7.6,28,M.C.G.,1:45 PM,"51,617",Richmond,4.4,8.8,13.9,21.11,137,Hawthorn,1.3,4.9,8.1,10.15,75,Richmond,23,Richmond,62,212,31
2012,9,26/05/2012,21,11.4,8.2,Carrara,2:10 PM,"12,416",Gold Coast Suns,2.5,7.6,7.8,10.1,70,Port Adelaide,4.4,7.7,14.14,17.16,118,Port Adelaide,1,Port Adelaide,48,188,27
2012,9,26/05/2012,16,7.6,28,Docklands,4:40 PM,"34,737",St Kilda,3.1,8.7,14.14,16.15,111,Sydney Swans,4.4,5.4,8.6,12.11,83,St Kilda,21,St Kilda,28,194,28
2012,9,26/05/2012,16.9,11.1,3.2,Football Park,7:10 PM,"44,238",Adelaide Crows,3.1,4.5,6.1,6.13,49,Collingwood,3.2,5.6,5.1,10.15,75,Collingwood,7,Collingwood,26,124,16
2012,9,26/05/2012,17.4,7.7,0.2,Sydney Showground,7:40 PM,"11,887",GWS Giants,0.5,2.9,4.11,7.11,53,Essendon,3.1,8.1,13.8,18.11,119,Essendon,28,Essendon,66,172,25
2012,9,27/05/2012,14.5,8.8,4.6,Docklands,1:10 PM,"19,988",North Melbourne,6.4,13.8,15.8,17.1,112,Brisbane Lions,3.2,5.4,11.6,15.6,96,North Melbourne,52,North Melbourne,16,208,32
2012,9,27/05/2012,14.5,8.8,4.6,M.C.G.,3:15 PM,"28,371",Carlton,3.3,7.8,8.14,15.17,107,Melbourne,3.4,5.7,6.1,6.13,49,Carlton,13,Carlton,58,156,21
2012,9,27/05/2012,24.5,6.2,0,Subiaco,2:40 PM,"40,905",West Coast Eagles,0.4,2.8,7.14,11.18,84,Fremantle,1.1,3.2,3.3,5.6,36,Fremantle,0,West Coast,48,120,16
2012,10,1/06/2012,16.1,3.1,0,Docklands,7:50 PM,"49,337",St Kilda,3.4,9.6,10.14,16.17,113,Richmond,3.7,9.8,12.11,18.13,121,Richmond,2,Richmond,8,234,34
2012,10,2/06/2012,16.2,3.8,0,Kardinia Park,1:45 PM,"17,243",Geelong Cats,4.2,7.3,13.8,19.12,126,GWS Giants,4.2,7.3,8.5,9.7,61,Greater Western Sydney,0,Geelong,65,187,28
2012,10,2/06/2012,12.7,4.5,0,York Park,2:10 PM,"16,143",Hawthorn,5.2,12.5,20.1,27.12,174,North Melbourne,4.1,6.4,7.4,9.5,59,Hawthorn,37,Hawthorn,115,233,36
2012,10,2/06/2012,20.6,7.4,0,Subiaco,2:40 PM,"31,392",Fremantle,3.3,6.6,10.9,12.1,82,Adelaide Crows,5.2,10.5,12.6,17.9,111,Adelaide,23,Adelaide,29,193,29
2012,10,2/06/2012,19.1,9.8,0,Football Park,7:10 PM,"24,746",Port Adelaide,5.2,9.4,10.9,14.15,99,Carlton,3.1,4.2,5.6,6.9,45,Port Adelaide,32,Port Adelaide,54,144,20
2012,10,2/06/2012,15.4,2.1,0,M.C.G.,7:40 PM,"42,987",Essendon,1.5,2.9,5.13,6.16,52,Melbourne,1.2,4.3,5.5,8.1,58,Melbourne,6,Melbourne,6,110,14
2012,10,3/06/2012,22.9,16.4,26.4,Gabba,1:10 PM,"15,546",Brisbane Lions,3.3,7.4,8.5,16.6,102,West Coast Eagles,2.1,5.5,10.7,15.1,100,Brisbane Lions,11,Brisbane Lions,2,202,31
2012,10,3/06/2012,15.7,14,28.7,S.C.G.,3:15 PM,"13,505",Sydney Swans,9,10.5,16.9,20.12,132,Western Bulldogs,1.1,3.1,4.5,5.1,40,Sydney,46,Sydney,92,172,25
2012,10,3/06/2012,13.3,5.6,0.8,M.C.G.,4:40 PM,"36,913",Collingwood,5.4,12.6,18.9,23.11,149,Gold Coast Suns,3.1,5.3,5.7,7.1,52,Collingwood,45,Collingwood,97,201,30
